Time,Amplitude
0.0,0.0
0.002,0.3008792001766225
0.004,0.5974927598185491
0.006,0.8856572885496952
0.008,1.1613521122808264
0.01,1.4207962112980446
0.012,1.6605199654384846
0.014,1.8774301579410473
0.016,2.068866840710125
0.018000000000000002,2.2326508461495944
0.02,2.3671209402856492
0.022,2.47115984385952
0.024,2.544208597187912
0.026000000000000002,2.5862690052260833
0.028,2.5978941655327037
0.03,2.580167347707828
0.032,2.534669752347476
0.034,2.463437924769021
0.036000000000000004,2.368911828129671
0.038,2.253874786910628
0.04,2.1213866904208474
0.042,1.9747119929642947
0.044,1.8172441593110693
0.046,1.6524282786085265
0.048,1.4836836052078601
0.05,1.3143277802978344
0.052000000000000005,1.1475044438700668
0.054,0.9861158634316514
0.056,0.832762085952351
0.058,0.6896879655415038
0.06,0.5587392348228898
0.062,0.4413285771352249
0.064,0.33841242434849494
0.066,0.25047895655593677
0.068,0.17754752084762082
0.07,0.11917942270141546
0.07200000000000001,0.0744997812504643
0.074,0.04222988477958989
0.076,0.02072924107335483
0.078,0.008046294191611625
0.08,0.001976579963753694
0.082,0.000126921508324232
0.084,-1.587270690540238e-05
0.08600000000000001,-0.0010134491880227636
0.088,-0.005403194776035014
0.09,-0.015626100227994266
0.092,-0.03395692191981359
0.094,-0.06243830878649781
0.096,-0.10282047052579169
0.098,-0.15650783577132776
0.1,-0.22451398828979252
0.10200000000000001,-0.30742597893102064
0.10400000000000001,-0.4053788953938825
0.106,-0.5180413357755558
0.108,-0.6446121807243768
0.11,-0.7838287985380095
0.112,-0.9339865536740943
0.114,-1.092969227883661
0.116,-1.2582897104950275
0.11800000000000001,-1.4271400760307875
0.12,-1.5964499487726995
0.122,-1.762951860090635
0.124,-1.9232521397532447
0.126,-2.073905750809111
0.128,-2.211493381989398
0.13,-2.3326990541420547
0.132,-2.434386479302309
0.134,-2.5136724330764295
0.136,-2.5679954626000088
0.138,-2.5951783520657195
0.14,-2.5934829034700497
0.14200000000000002,-2.5616557587591284
0.14400000000000002,-2.498964187168858
0.146,-2.4052209838015153
0.148,-2.2807978673467586
0.15,-2.1266270208801004
0.152,-1.9441906840738563
0.154,-1.735498971960162
0.156,-1.503056358562312
0.158,-1.2498175173090256
0.16,-0.9791334484314238
0.162,-0.694689041125069
0.164,-0.4004334102168376
0.166,-0.10050450906644279
0.168,0.20085035121075473
0.17,0.49935635429346303
0.17200000000000001,0.7907936278660186
0.17400000000000002,1.0710785009959474
0.176,1.3363418079184757
0.178,1.5830025427226715
0.18,1.8078352737054444
0.182,2.008029866089454
0.184,2.1812422342224846
0.186,2.3256350453885113
0.188,2.4399075224164024
0.19,2.523313736280267
0.192,2.5756690373272324
0.194,2.597344538822258
0.196,2.589249833173404
0.198,2.552804383467765
0.2,2.4898982848827806
0.202,2.402843326450835
0.20400000000000001,2.2943154982229452
0.20600000000000002,2.16729027726162
0.20800000000000002,2.0249721838509687
0.21,1.8707202232922402
0.212,1.707970915875979
0.214,1.5401606661431053
0.216,1.3706492313004839
0.218,1.2026460174789722
0.22,1.0391408621562521
0.222,0.8828408531453997
0.224,0.7361145915571666
0.226,0.6009451313585654
0.228,0.4788926255731757
0.23,0.3710674834291052
0.232,0.27811459901320845
0.234,0.20020895579690112
0.23600000000000002,0.13706264860199557
0.23800000000000002,0.08794310116524628
0.24,0.051701999440667334
0.242,0.026814214027313543
0.244,0.011425755247829517
0.246,0.0034095966644792086
0.248,0.000428021935108408
0.25,0.0
0.252,-0.00042802193510838027
0.254,-0.003409596664479153
0.256,-0.011425755247829406
0.258,-0.026814214027313432
0.26,-0.05170199944066689
